STATE,FIREARM_DEATHS_PER_100000,FIREARM_OWNERSHIP_PCT
AL,16,52.2
AK,17.5,59.8
AZ,16.1,32.3
AR,15.7,58.8
CA,9.5,20.1
CO,11.6,34.6
CT,5.3,18.1
DE,8.8,26.3
FL,10,25.2
GA,12.1,40.3
HI,2.1,
ID,14.1,55.7
IL,8,20.7
IN,11.2,38.5
IA,6.7,45.7
KS,9.3,42.8
KY,13,47.7
LA,18.5,45
ME,7.8,40.3
MD,11.9,21.7
MA,3.4,11.5
MI,10.8,40.8
MN,7,41.2
MS,16,54.6
MO,12.9,44.2
MT,16.9,62.6
NE,7.7,45.4
NV,16.1,34
NH,6.6,31
NJ,5.2,11.4
NM,13.9,39.7
NY,5.3,18.5
NC,12.8,39.4
ND,8.8,56.2
OH,9.6,34
OK,13.2,46.5
OR,10.7,39.8
PA,10.8,35.1
RI,3.6,12.4
SC,13.8,43.3
SD,10.2,59.9
TN,16,46.6
TX,11.1,37.1
UT,10.1,44.8
VT,6.8,43.8
VA,11.5,37.5
WA,8.8,34
WV,13.8,58.5
WI,8.5,43
WY,13.4,65.5
